UTC,ShipName,MMSI,DRAFT AFT,DRAFT FWD,DRAFT PORT,DRAFT STBD,File name,FilePath
2020-03-12 10:59,한나라호,441273000,5.88.E+00,5.64.E+00,5.94.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:02,한나라호,441273000,5.89.E+00,5.74.E+00,5.94.E+00,5.83.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:03,한나라호,441273000,5.82.E+00,5.66.E+00,5.82.E+00,5.95.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:04,한나라호,441273000,5.87.E+00,5.56.E+00,6.06.E+00,5.84.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:05,한나라호,441273000,5.88.E+00,5.70.E+00,5.77.E+00,6.02.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:06,한나라호,441273000,5.83.E+00,5.67.E+00,5.85.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:07,한나라호,441273000,5.88.E+00,5.67.E+00,5.94.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 11:08,한나라호,441273000,5.85.E+00,5.72.E+00,5.92.E+00,5.82.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 12:10,한나라호,441273000,5.85.E+00,5.56.E+00,5.99.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 13:10,한나라호,441273000,5.90.E+00,5.76.E+00,6.01.E+00,5.80.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 14:10,한나라호,441273000,5.83.E+00,5.82.E+00,5.84.E+00,5.81.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 15:10,한나라호,441273000,5.86.E+00,5.69.E+00,5.88.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 16:10,한나라호,441273000,5.87.E+00,5.75.E+00,5.82.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 17:10,한나라호,441273000,5.86.E+00,5.77.E+00,5.82.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 18:10,한나라호,441273000,5.83.E+00,5.67.E+00,5.89.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 19:10,한나라호,441273000,5.89.E+00,5.66.E+00,5.98.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 20:10,한나라호,441273000,5.86.E+00,5.67.E+00,5.90.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
